ListingId	UpdateOnDate	Address	NewPrice
1318158431511	2023-05-27	18-1-drew-street-greenway-canberra	$699,000
1318132591511	2023-05-28	29-51-leahy-close-narrabundah-canberra	Offers Over $719,000
1317938931911	2023-05-30	vivace-north-facing-3-bed-townhome-with-25-bath-and-2-car-throsby-canberra	$799,900
1318051926911	2023-05-30	form-light-filled-2-bed-2-bath-coombs-canberra	$609,900
1318054991011	2023-05-30	form-huge-3-bedroom-townhome-coombs-canberra	$874,900
1318082491711	2023-05-30	63-16-cornelius-street-coombs-canberra	$609,900
1318082494211	2023-05-30	28-29-seahorse-street-throsby-canberra	$779,900
1318084375811	2023-05-30	vivace-3-bedroom-with-25-bathrooms-and-oversized-tandem-garage-throsby-canberra	$779,900
1318084377711	2023-05-30	vivace-oversized-3-bedroom-with-rumpus-room-throsby-canberra	$1,119,000
1318084622611	2023-05-30	vivace-4-bedroom-with-2-master-bedrooms-throsby-canberra	$874,900
1318103255911	2023-05-30	vivace-one-of-a-kind-4-bedroom-with-rumpus-corner-townhome-throsby-canberra	$1,119,000
1318111217611	2023-05-30	vivace-2-bedroom-2-bathroom-with-2-car-throsby-canberra	$609,900+
1318115680811	2023-05-30	11-scottsdale-street-lyons-canberra	$1,995,000+
1318118919911	2023-05-30	vivace-large-4-bedroom-2-storey-townhome-with-double-garage-throsby-canberra	$1,119,000
1318130350311	2023-05-30	136-lambrigg-street-farrer-canberra	$900,000
1318130352011	2023-05-30	39-pavonia-street-rivett-canberra	$700,000
1318130352111	2023-05-30	33-mckenzie-street-kambah-canberra	$700,000
1318130352211	2023-05-30	38-buvelot-street-weston-canberra	$990,000
1318130363411	2023-05-30	6-ulverstone-street-lyons-canberra	$1,100,000
1318139378811	2023-05-30	29-ferdinand-street-campbell-canberra	$1,895,000+
1318148475411	2023-05-30	22-92-casey-crescent-calwell-canberra	$750,000+
1318152961311	2023-05-30	210-45-honeysett-view-kingston-canberra	By Negotiation
1318153364711	2023-05-30	75-doyle-terrace-chapman-canberra	$1,100,000+
1318156662711	2023-05-30	26-10-hopegood-place-garran-canberra	Under Offer
1318159912111	2023-05-30	29-jonsson-court-dunlop-canberra	$777,000 +
1318160833311	2023-05-30	27-84-kings-canyon-street-harrison-canberra	$668,000
1318161087111	2023-05-30	unit-413-2-batman-street-braddon-canberra	By Negotiation
1318163141711	2023-05-30	905-2-gribble-street-gungahlin-canberra	$695,000-$720,000
1318164537311	2023-05-30	7-10-margules-crescent-taylor-canberra	$699,000+
1318101730311	2023-05-31	514-120-eastern-valley-way-belconnen-canberra	$379,999+
1318117726711	2023-05-31	6-esk-place-lyons-canberra	$930,000+
1318134197811	2023-05-31	36-quong-tart-avenue-denman-prospect-canberra	$1,450,000
1318140276111	2023-05-31	91-stuart-street-narrabundah-canberra	$2,200,000+
1318143912011	2023-05-31	1-16-colbeck-street-mawson-canberra	Under Offer
1318145373311	2023-05-31	no-street-name-provided-belconnen-canberra	$570,000
1318159716411	2023-05-31	5-11-trevillian-quay-kingston-canberra	$499,000+
1318095921211	2023-06-01	8-45-west-row-city-canberra	$649,999+
1318138144911	2023-06-01	74-george-seddon-crescent-taylor-canberra	$799,000+
1318140954011	2023-06-01	15-56-cowlishaw-street-greenway-canberra	$315,000+
1318145276611	2023-06-01	18-laughton-street-chisholm-canberra	$975,000+
1318146574311	2023-06-01	2-hamilton-row-yarralumla-canberra	SOLD - Contact Agent
1318149357711	2023-06-01	304-10-parbery-street-kingston-canberra	$699,000+
1318157657111	2023-06-01	3-3-mcgowan-place-dickson-canberra	By Negotiation
1318158474811	2023-06-01	120-72-wentworth-avenue-kingston-canberra	$650,000+
1318159647911	2023-06-01	12-nina-murdoch-street-franklin-canberra	Offers over $1,390,000.-
1318116110811	2023-06-02	12-hill-corner-yarralumla-canberra	$3,700,000+
1318156338311	2023-06-02	41-leslie-dwyer-street-forde-canberra	$1,350,000-$1,450,000
1318158156311	2023-06-02	182-39-catalano-street-wright-canberra	$405,000
1318163493911	2023-06-02	10-3-cabarita-terrace-o-malley-canberra	$1,699,000+
1318129901811	2023-06-03	7-180-monaro-crescent-red-hill-canberra	$499,950
1318140204611	2023-06-03	23-crone-terrace-taylor-canberra	$550,000+
1318144019911	2023-06-03	27-mannheim-street-kambah-canberra	By Negotiation
1318163502311	2023-06-03	4-mcdougall-street-charnwood-canberra	$690,000 - $740,000
1318104951511	2023-06-05	300-1-anthony-rolfe-avenue-gungahlin-canberra	$469000+
1318108843711	2023-06-05	5-clothier-street-strathnairn-canberra	By Negotiation
1318159696011	2023-06-05	2-serra-place-stirling-canberra	$830,000
1318160633611	2023-06-05	7-1-chifley-place-chifley-canberra	$530,000
1318163499211	2023-06-05	61-77-gozzard-street-gungahlin-canberra	$365,000
1318163594411	2023-06-05	42-5-burbury-close-barton-canberra	UNDER OFFER
1318084377711	2023-06-06	vivace-oversized-3-bedroom-with-rumpus-room-throsby-canberra	$999,900
1318084622611	2023-06-06	vivace-4-bedroom-with-2-master-bedrooms-throsby-canberra	$849,900
1318149784211	2023-06-06	1-malcolm-cole-terrace-whitlam-canberra	$1,259,000 +
1318149784911	2023-06-06	10-euroka-street-narrabundah-canberra	UNDER OFFER
1318155149611	2023-06-06	43-119-sutherland-crescent-taylor-canberra	$599,000+
1318160318611	2023-06-06	31-51-musgrave-street-yarralumla-canberra	$1,475,000
1318163490711	2023-06-06	162-61-john-gorton-drive-wright-canberra	$399,000+
1318164987211	2023-06-06	23-harkness-street-monash-canberra	$750,000 - $825,000
1318166188511	2023-06-06	305-4-anzac-park-campbell-canberra	$599,000+
1317973681811	2023-06-07	17-makinson-view-denman-prospect-canberra	$849,000+
1318054991011	2023-06-07	form-huge-3-bedroom-townhome-coombs-canberra	$869,900
1318103255911	2023-06-07	vivace-one-of-a-kind-4-bedroom-with-rumpus-corner-townhome-throsby-canberra	$1,099,900
1318118919911	2023-06-07	vivace-large-4-bedroom-2-storey-townhome-with-double-garage-throsby-canberra	$1,099,900
1318163542511	2023-06-07	2-geerilong-gardens-reid-canberra	By Negotiation
1318164347811	2023-06-07	129-1-anthony-rolfe-avenue-gungahlin-canberra	Under Offer! - Contact Agent
1318165158011	2023-06-07	69-217-northbourne-avenue-turner-canberra	$660,000+
1317938931911	2023-06-08	vivace-north-facing-3-bed-townhome-with-25-bath-and-2-car-throsby-canberra	$799,900
1318121615311	2023-06-08	12-rosenthal-street-campbell-canberra	$2,099,000 - $2,179,000
1318129483211	2023-06-08	107-walker-crescent-narrabundah-canberra	$2,100,000+
1318129919911	2023-06-08	9-cosgrove-street-curtin-canberra	Offers Over $725,000
1318143665011	2023-06-08	17-dooring-street-braddon-canberra	$420,000+
1318152729711	2023-06-08	21-yuranigh-court-ngunnawal-canberra	By Negotiation
1318157524011	2023-06-08	47-71-giles-street-kingston-canberra	$559,000
1318158864611	2023-06-08	1-hawken-street-monash-canberra	By Negotiation
1318160290211	2023-06-08	2003-3-grazier-lane-belconnen-canberra	$620,000+
1318164919411	2023-06-08	5-octoman-street-forde-canberra	$1,199,000+
1318165211911	2023-06-08	stage-2b-block-a-section-ax-denman-prospect-canberra	$795,000 - $845,000
1318084375811	2023-06-09	vivace-3-bedroom-with-25-bathrooms-and-oversized-tandem-garage-throsby-canberra	$759,900
1318111709211	2023-06-09	422-2-terry-connolly-street-coombs-canberra	$689,000+
1318140473911	2023-06-10	611-25-edinburgh-avenue-city-canberra	$535,000+
1318158225111	2023-06-10	130-jim-pike-avenue-gordon-canberra	$835,000
1318159535811	2023-06-10	509-6-gribble-street-gungahlin-canberra	$569,999+
1318160408311	2023-06-10	89-bettong-avenue-throsby-canberra	$699,000
1318161806411	2023-06-10	21-sue-geh-circuit-nicholls-canberra	$1,700,000 +
1318164117711	2023-06-10	8-rocklands-street-duffy-canberra	$900,000+
1318084377711	2023-06-11	vivace-oversized-3-bedroom-with-rumpus-room-throsby-canberra	$899,900+
1318150023011	2023-06-12	50-566-cotter-road-wright-canberra	$399,000 +
1318163141711	2023-06-12	905-2-gribble-street-gungahlin-canberra	Expressions of Interest
1318163805211	2023-06-12	23-dalman-crescent-o-malley-canberra	$3,450,000+
1317996363011	2023-06-13	no-street-name-provided-whitlam-canberra	$999,900+
1318078598611	2023-06-13	acacia-4-bedroom-townhouse-including-self-contained-studio-with-views-whitlam-canberra	$1,200,000+
1318112942811	2023-06-13	48-finniss-crescent-narrabundah-canberra	$2,850,000
1318152998311	2023-06-13	2-wisdom-place-hughes-canberra	$1,749,000-$1,849,000
1318156666711	2023-06-13	19-turner-place-yarralumla-canberra	$1,700,000
1318158044211	2023-06-13	29-rafferty-street-chapman-canberra	$1,250,000+
1318160265211	2023-06-13	163-61-john-gorton-drive-wright-canberra	$425,000
1318084377711	2023-06-14	vivace-oversized-3-bedroom-with-rumpus-room-throsby-canberra	$849,900
1318084622611	2023-06-14	vivace-4-bedroom-with-2-master-bedrooms-throsby-canberra	$849,900
1318111217611	2023-06-14	vivace-2-bedroom-2-bathroom-with-2-car-throsby-canberra	$599,900+
1318129520711	2023-06-14	g03-258-northbourne-avenue-dickson-canberra	$495,000+
1318129553811	2023-06-14	53-tishler-street-wright-canberra	Offers Over $630,000
1318139914311	2023-06-14	allegro-3-bed-with-single-car-garage-plus-car-space-throsby-canberra	$729,900
1318153098011	2023-06-14	7-werribee-crescent-farrer-canberra	Offers above $1,350,000
1318158800511	2023-06-14	218-50-eastlake-parade-kingston-canberra	$345,000+
1318160781111	2023-06-14	114-pennefather-street-higgins-canberra	$949,000+
1318163045311	2023-06-14	11-86-anzac-park-campbell-canberra	$550,000+
1318165728111	2023-06-14	15-walter-hood-lane-red-hill-canberra	$1,449,000 - $1,549,000
1318166114511	2023-06-14	51-macfarlane-burnet-avenue-macgregor-canberra	$960,000+
1318168218711	2023-06-14	19-1-hoffmann-street-moncrieff-canberra	$595,000+
1318057784911	2023-06-15	44-magenta-square-amaroo-canberra	Contact Agent
1318072248711	2023-06-15	8-esson-place-garran-canberra	$1,200,000
1318131113911	2023-06-15	block-i-section-aw-denman-prospect-canberra	$849,000 - $889,000
1318139787511	2023-06-15	38-311-flemington-road-franklin-canberra	$520,000 +
1318154306711	2023-06-15	205-1-the-causeway-kingston-canberra	$495,000+
1318158873511	2023-06-15	29-17-trevillian-quay-kingston-canberra	$2,585,000
1318163141711	2023-06-15	905-2-gribble-street-gungahlin-canberra	Expressions of Interest
1318163580411	2023-06-15	7-slater-place-evatt-canberra	$775,000+
1318156565511	2023-06-16	20-5-skuta-place-denman-prospect-canberra	$599,000 - $619,000
1318160290211	2023-06-16	2003-3-grazier-lane-belconnen-canberra	$600,000+
1318166796511	2023-06-16	2-9-oliver-street-lyneham-canberra	$1,115,000
1318103255911	2023-06-17	vivace-one-of-a-kind-4-bedroom-with-rumpus-corner-townhome-throsby-canberra	$999,900+
1318118919911	2023-06-17	vivace-large-4-bedroom-2-storey-townhome-with-double-garage-throsby-canberra	$999,900+
1318167263311	2023-06-17	101-99-eastern-valley-way-belconnen-canberra	$599,000+
1318164703911	2023-06-18	6-westerman-street-casey-canberra	$799,000+
1318166702111	2023-06-18	6-51-sandover-circuit-amaroo-canberra	$799,000+
1318154694411	2023-06-19	6-2-parbery-street-kingston-canberra	$995,000+
1318156045311	2023-06-19	622-45-ainslie-avenue-braddon-canberra	Offers Above $449,000+
1318156632811	2023-06-19	11-grace-munro-crescent-strathnairn-canberra	By Negotiation
1318158619811	2023-06-19	18-freebury-street-denman-prospect-canberra	$1,599,000+
1318159716411	2023-06-19	5-11-trevillian-quay-kingston-canberra	$480,000
1318111660811	2023-06-20	48-morphett-street-dickson-canberra	$1,000,000+
1318132591511	2023-06-20	29-51-leahy-close-narrabundah-canberra	$695,000
1318151578111	2023-06-20	45-43-hibberson-street-gungahlin-canberra	Offers over $435,000
1318151636911	2023-06-20	605-34-oakden-street-greenway-canberra	By Negotiation
1318155877211	2023-06-20	1-15-wanderlight-avenue-lawson-canberra	$649,000+
1318160635711	2023-06-20	70-17-darling-street-barton-canberra	$1,085,000
1318164537311	2023-06-20	7-10-margules-crescent-taylor-canberra	By Negotiation
1318165155111	2023-06-20	136-de-little-circuit-greenway-canberra	$685,000
1318166515211	2023-06-20	8-arkwookerum-street-whitlam-canberra	$680,000
1318101870211	2023-06-21	26-28-bindaga-place-aranda-canberra	By Negotiation
1318124980411	2023-06-21	12-hervey-place-wanniassa-canberra	By Negotiation
1318128923211	2023-06-21	41-8-ken-tribe-street-coombs-canberra	$675,000+
1318131654711	2023-06-21	17-dookie-street-farrer-canberra	$1,149,000 - $1,199,000
1318134042411	2023-06-21	11-1-wilkins-street-mawson-canberra	$820,000
1318139782511	2023-06-21	22-branson-street-dunlop-canberra	Offers Over $950,000
1318140953911	2023-06-21	14-mokare-street-ngunnawal-canberra	By Negotation
1318152908411	2023-06-21	stromlo-rise-a-premium-tri-level-four-bedroom-residence-denman-prospect-canberra	$1,499,000+
1318152949311	2023-06-21	stromlo-rise-a-grand-three-bedroom-plus-rumpus-residence-denman-prospect-canberra	$1,399,000+
1318152956811	2023-06-21	stromlo-rise-a-premium-split-level-four-bedroom-residence-north-facing-denman-prospect-canberra	$1,449,000+
1318154683211	2023-06-21	no-street-name-provided-braddon-canberra	By Negotiation
1318160650011	2023-06-21	1-28-allan-street-curtin-canberra	$1,650,000+
1318163295211	2023-06-21	91-20-allara-street-canberra-canberra	By Negotiation
1318166813911	2023-06-21	15-lawrenson-circuit-jacka-canberra	$998,000-$1,078,000
1318169914711	2023-06-21	53-callabonna-street-kaleen-canberra	$1,175,000
1318001516211	2023-06-22	25-32-leahy-close-narrabundah-canberra	$1,000,000+
1318035009811	2023-06-22	elia-g-type-town-home-taylor-canberra	$599,900
1318125143011	2023-06-22	28-arthur-circle-forrest-canberra	By Negotiation
1318139494511	2023-06-22	elia-3-bedroom-north-facing-townhouse-taylor-canberra	$699,900
1318155072911	2023-06-22	wova-wova-a-rising-mixed-use-community-in-woden-1-bedroom-woden-canberra	$470,900
1318155149611	2023-06-22	43-119-sutherland-crescent-taylor-canberra	$580,000+
1318163140911	2023-06-22	24-barramundi-street-throsby-canberra	By Negotiation
1318166188511	2023-06-22	305-4-anzac-park-campbell-canberra	$560,000+
1318168354111	2023-06-22	8-6-goodchild-street-lyneham-canberra	Offers
1318128922411	2023-06-23	8-sievers-view-taylor-canberra	$619,000+
1318131152711	2023-06-23	205-358-northbourne-avenue-dickson-canberra	$620,000+
1318163834611	2023-06-23	7-64-arndell-street-macquarie-canberra	$1,295,000
1318164318311	2023-06-23	72-hibberd-crescent-forde-canberra	$699,000+
1318165224811	2023-06-23	45-de-graaff-street-holder-canberra	$925,000+
1318141736311	2023-06-24	3-roe-street-griffith-canberra	UNDER OFFER
1318166440011	2023-06-24	36-noongale-court-ngunnawal-canberra	Offers Over $659,000
1318166787911	2023-06-24	18-1-bellette-street-weston-canberra	$860,000+
1318167007511	2023-06-24	30-muntz-street-chisholm-canberra	$879,000
